,id,url,age,gender,name,description,status,status_changed_at,published_at,primary,secondary,mixed,address1,address2,city,state,zip,country,small_photo,medium_photo,large_photo
0,59310612,https://www.petfinder.com/cat/ray-59310612/mi/monroe/friends-of-companion-animals-mi918/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,Ray,"Siblings Luke, Leia, &amp;amp; Ray were found on the property of a FOCA volunteer. They were a bit shy at...",adopted,2022-12-31T19:11:49+0000,2022-12-31T19:11:48+0000,Domestic Short Hair,,False,2532 N. Dixie Hwy,,Monroe,MI,48162,US,,,
1,59310606,https://www.petfinder.com/dog/rum-59310606/ca/manteca/city-of-manteca-animal-shelter-ca324/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Male,Rum,,adopted,2023-01-05T17:36:31+0000,2022-12-31T19:11:37+0000,Labrador Retriever,,False,115 E. Wetmore Street,,Manteca,CA,95337,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310606/1/?bust=1672513896&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310606/1/?bust=1672513896&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310606/1/?bust=1672513896&width=600
2,59310592,https://www.petfinder.com/dog/kelan-59310592/tn/brentwood/spca-of-tennessee-tn385/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Male,Kelan,"Kelan is a Shepherd/Husky Mix. His owner can’t keep him anymore. He is good with children, people and dogs. He...",adopted,2023-01-03T17:58:57+0000,2022-12-31T19:10:47+0000,German Shepherd Dog,,False,PO Box 1014,,Brentwood,TN,37024,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310592/3/?bust=1672625894&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310592/3/?bust=1672625894&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310592/3/?bust=1672625894&width=600
3,59310593,https://www.petfinder.com/cat/flappy-59310593/ny/new-york/fur-real-ny1400/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,Flappy,"Hiya, I&#039;m sweet little baby Mafalda, I was born in early September behind a building in Jackson Heights, Queens, along...",adopted,2022-12-31T19:10:56+0000,2022-12-31T19:10:47+0000,Domestic Short Hair,,True,,,New York,NY,10009,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310593/1/?bust=1672513845&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310593/1/?bust=1672513845&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310593/1/?bust=1672513845&width=600
4,59310589,https://www.petfinder.com/cat/rosalind-59310589/pa/new-castle/lawrence-county-humane-society-pa77/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,Rosalind,"Meet Rosalind!

Spayed female
DSH
Approx. 2 months old

Likes: Lots of toys, hanging out with by brother Jameson, being...",adopted,2023-01-07T18:15:34+0000,2022-12-31T19:10:32+0000,Domestic Short Hair,,False,PO BOX 62,Pearson Mill Road,New Castle,PA,16103,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310589/4/?bust=1672513831&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310589/4/?bust=1672513831&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310589/4/?bust=1672513831&width=600
5,59310582,https://www.petfinder.com/cat/clay-59310582/ny/new-york/fur-real-ny1400/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Male,Clay,"Hiya, I&#039;m sweet little baby Mafalda, I was born in early September behind a building in Jackson Heights, Queens, along...",adopted,2022-12-31T19:10:20+0000,2022-12-31T19:10:08+0000,Domestic Short Hair,,True,,,New York,NY,10009,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310582/1/?bust=1672513807&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310582/1/?bust=1672513807&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310582/1/?bust=1672513807&width=600
6,59310573,https://www.petfinder.com/dog/tanner-59310573/la/baker/dantes-hope-la369/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Tanner,"Welcome Tanner. 

This handsome little guy has been with us for several weeks while decompressing and learning he is now...",adopted,2023-01-08T00:00:25+0000,2022-12-31T19:09:12+0000,Papillon,Dachshund,True,,,Baker,LA,70714,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310573/4/?bust=1672513751&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310573/4/?bust=1672513751&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310573/4/?bust=1672513751&width=600
7,59310572,https://www.petfinder.com/cat/speedy-fully-sponsored-59310572/ky/leitchfield/leitchfield-animal-shelter-ky491/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Female,Speedy ~ Fully Sponsored!,"&quot;Speedy is very athletic, hyper, curious, funny! She is sweet and friendly but more ready to play and aggravate her...",adopted,2023-01-10T18:13:42+0000,2022-12-31T19:08:45+0000,Domestic Short Hair,,True,213 William Thomason Byway,,Leitchfield,KY,42754,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310572/2/?bust=1672513724&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310572/2/?bust=1672513724&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310572/2/?bust=1672513724&width=600
8,59310564,https://www.petfinder.com/cat/evie-59310564/ca/long-beach/friends-of-normie-ca2949/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Female,Evie,Evie is a 5/6 month old kitty who is one of the most beautiful and dainty girls we have rescued....,adopted,2023-01-09T02:27:37+0000,2022-12-31T19:08:15+0000,Tabby,,False,,,Long Beach,CA,90803,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310564/5/?bust=1672513693&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310564/5/?bust=1672513693&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310564/5/?bust=1672513693&width=600
9,59310563,https://www.petfinder.com/cat/punk-59310563/ky/leitchfield/leitchfield-animal-shelter-ky491/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Male,Punk,"&quot;Punk is loving, sweet, and curious. He loves to jump on your legs or chest and give you kisses. Likes...",adopted,2023-01-07T18:48:09+0000,2022-12-31T19:07:38+0000,Domestic Short Hair,,True,213 William Thomason Byway,,Leitchfield,KY,42754,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310563/2/?bust=1672513657&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310563/2/?bust=1672513657&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310563/2/?bust=1672513657&width=600
