,id,type,name,age,gender,city,breed,city,zip,large_photo,state,species,status,url
300,59310626,Dog,Freckles,Baby,Female,Austin,Pit Bull Terrier,Austin,78760,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310626/6/?bust=1673382975&width=600,TX,Dog,adoptable,https://www.petfinder.com/dog/freckles-59310626/tx/austin/love-a-bull-tx1402/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
301,59310627,Dog,JoJo,Baby,Female,Austin,Pit Bull Terrier,Austin,78760,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310627/6/?bust=1673382975&width=600,TX,Dog,adoptable,https://www.petfinder.com/dog/jojo-59310627/tx/austin/love-a-bull-tx1402/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
302,59310625,Dog,Ollie,Baby,Male,Austin,Pit Bull Terrier,Austin,78760,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310625/5/?bust=1673464377&width=600,TX,Dog,adoptable,https://www.petfinder.com/dog/ollie-59310625/tx/austin/love-a-bull-tx1402/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
303,59310620,Dog,BROGAN,Young,Male,Visalia,Australian Cattle Dog / Blue Heeler,Visalia,93292,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310620/1/?bust=1673158109&width=600,CA,Dog,adoptable,https://www.petfinder.com/dog/brogan-59310620/ca/visalia/tulare-county-animal-services-ca492/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
304,59310614,Cat,Sashimi,Young,Female,Fairport,Domestic Medium Hair,Fairport,14450,,NY,Cat,adoptable,https://www.petfinder.com/cat/sashimi-59310614/ny/fairport/lollypop-farm-humane-society-of-greater-rochester-ny494/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
305,59310610,Cat,Lady,Adult,Female,Monroe,Domestic Short Hair,Monroe,48162,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310610/1/?bust=1673159059&width=600,MI,Cat,adoptable,https://www.petfinder.com/cat/lady-59310610/mi/monroe/friends-of-companion-animals-mi918/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
306,59310611,Cat,Jet,Baby,Male,Monroe,Domestic Short Hair,Monroe,48162,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310611/1/?bust=1673159147&width=600,MI,Cat,adoptable,https://www.petfinder.com/cat/jet-59310611/mi/monroe/friends-of-companion-animals-mi918/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
307,59310609,Dog,Floppy (in a foster home) ,Baby,Female,Leesville,Catahoula Leopard Dog,Leesville,71446,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310609/2/?bust=1672514637&width=600,LA,Dog,adoptable,https://www.petfinder.com/dog/floppy-in-a-foster-home-59310609/la/leesville/beauxs-rescue-inc-la442/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
308,59310608,Cat,Paige,Baby,Female,Egg Harbor City,Torbie,Egg Harbor City,08215,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310608/1/?bust=1672513905&width=600,NJ,Cat,adoptable,https://www.petfinder.com/cat/paige-59310608/nj/egg-harbor-city/atlantic-county-canines-nj354/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
309,59310594,Cat,Sunshine,Adult,Male,Red Wing,Domestic Short Hair,Red Wing,55066,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310594/6/?bust=1672513851&width=600,MN,Cat,adoptable,https://www.petfinder.com/cat/sunshine-59310594/mn/red-wing/river-bluff-humane-society-mn135/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
310,59310580,Dog,Bourbon,Adult,Male,Manteca,German Shepherd Dog,Manteca,95337,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310580/1/?bust=1672513802&width=600,CA,Dog,adoptable,https://www.petfinder.com/dog/bourbon-59310580/ca/manteca/city-of-manteca-animal-shelter-ca324/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
311,59310579,Cat,Pepper,Young,Male,Old Bridge,Domestic Short Hair,Old Bridge,08857,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310579/3/?bust=1672513799&width=600,NJ,Cat,adoptable,https://www.petfinder.com/cat/pepper-59310579/nj/old-bridge/happy-homes-animal-rescue-nj728/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
312,59310577,Cat,Pumpkin Butt,Adult,Male,St. Louis,Domestic Short Hair,St. Louis,63118,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310577/5/?bust=1673158092&width=600,MO,Cat,adoptable,https://www.petfinder.com/cat/pumpkin-butt-59310577/mo/st-louis/tenth-life-cat-rescue-mo510/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
313,59310576,Cat,Spooky,Adult,Male,St. Louis,Domestic Short Hair,St. Louis,63118,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310576/3/?bust=1673158117&width=600,MO,Cat,adoptable,https://www.petfinder.com/cat/spooky-59310576/mo/st-louis/tenth-life-cat-rescue-mo510/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
314,59310570,Cat,LuLu,Young,Female,Mountain View,Torbie,Mountain View,72560,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310570/2/?bust=1673162663&width=600,AR,Cat,adoptable,https://www.petfinder.com/cat/lulu-59310570/ar/mountain-view/stone-county-humane-society-inc-ar154/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
315,59310559,Cat,Milky Way Sanchez 0822 bonded with Midnight,Baby,Female,West Bloomfield,Domestic Short Hair,West Bloomfield,48325,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310559/1/?bust=1672513554&width=600,MI,Cat,adoptable,https://www.petfinder.com/cat/milky-way-sanchez-0822-bonded-with-midnight-59310559/mi/west-bloomfield/paaw-pet-adoption-alternative-warren-mi598/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
316,59310557,Cat,Macho Man,Adult,Male,Council Bluffs,Domestic Short Hair,Council Bluffs,51503,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310557/1/?bust=1672513464&width=600,IA,Cat,adoptable,https://www.petfinder.com/cat/macho-man-59310557/ia/council-bluffs/midlands-humane-society-ia236/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
317,59310556,Cat,Greyson Greylock ,Adult,Male,Phoenix ,Russian Blue,Phoenix ,85027,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310556/1/?bust=1672513447&width=600,AZ,Cat,adoptable,https://www.petfinder.com/cat/greyson-greylock-59310556/az/phoenix/az-claws-animal-rescue-az650/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
318,59310554,Cat,Midnight Sanchez 0822 bonded with Milky Way,Baby,Male,West Bloomfield,Domestic Short Hair,West Bloomfield,48325,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310554/1/?bust=1672513346&width=600,MI,Cat,adoptable,https://www.petfinder.com/cat/midnight-sanchez-0822-bonded-with-milky-way-59310554/mi/west-bloomfield/paaw-pet-adoption-alternative-warren-mi598/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
319,59310547,Cat,Hallie,Baby,Female,Midlothian,Domestic Short Hair,Midlothian,76065,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310547/3/?bust=1673267900&width=600,TX,Cat,adoptable,https://www.petfinder.com/cat/hallie-59310547/tx/midlothian/hearts-and-tails-of-hope-pet-rescue-tx1239/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
320,59310545,Dog,Eva,Young,Female,Rancho Santa Fe,Mixed Breed,Rancho Santa Fe,92067,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310545/1/?bust=1673118850&width=600,CA,Dog,adoptable,https://www.petfinder.com/dog/eva-59310545/ca/rancho-santa-fe/helen-woodward-animal-center-ca398/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
321,59310543,Dog,Gizmo,Young,Male,Arcadia,Miniature Poodle,Arcadia,34266,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310543/3/?bust=1672513206&width=600,FL,Dog,adoptable,https://www.petfinder.com/dog/gizmo-59310543/fl/arcadia/canine-castaways-fl402/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
322,59310539,Cat,Jujubee,Adult,Female,New Prague,Domestic Short Hair,New Prague,56071,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310539/3/?bust=1673211982&width=600,MN,Cat,adoptable,https://www.petfinder.com/cat/jujubee-59310539/mn/new-prague/wee3beasties-saving-the-strays-mn404/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
323,59310538,Dog,Remi M,Young,Female,Clarksville,Dogo Argentino,Clarksville,37040,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310538/1/?bust=1673158475&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/remi-m-59310538/tn/clarksville/montgomery-county-animal-care-and-control-tn20/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
324,59310537,Dog,Toby,Baby,Male,Colonial Heights,Pit Bull Terrier,Colonial Heights,23834,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310537/1/?bust=1672513149&width=600,VA,Dog,adoptable,https://www.petfinder.com/dog/toby-59310537/va/colonial-heights/bully-rescue-and-advocacy-group-inc-va672/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
325,59310531,Dog,Lucy,Baby,Male,Mount Juliet,Boxer,Mount Juliet,37122,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310531/1/?bust=1672714907&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/lucy-59310531/tn/mount-juliet/life-house-animal-refuge-and-rehabilitation-tn411/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
326,59310529,Dog,Forrest Gump,Adult,Male,Green Cove Springs,American Staffordshire Terrier,Green Cove Springs,32043,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310529/1/?bust=1673159264&width=600,FL,Dog,adoptable,https://www.petfinder.com/dog/forrest-gump-59310529/fl/green-cove-springs/clay-county-animal-services-fl380/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
327,59310527,Cat,Sophia,Young,Female,Green Cove Springs,Domestic Short Hair,Green Cove Springs,32043,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310527/1/?bust=1673159255&width=600,FL,Cat,adoptable,https://www.petfinder.com/cat/sophia-59310527/fl/green-cove-springs/clay-county-animal-services-fl380/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
328,59310514,Cat,Felix,Adult,Male,Columbia Station,Domestic Short Hair,Columbia Station,44028,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310514/3/?bust=1673216363&width=600,OH,Cat,adoptable,https://www.petfinder.com/cat/felix-59310514/oh/columbia-station/berea-animal-rescue-fund-shelter-oh75/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
329,59310512,Cat,Frosty,Young,Male,Chesterfield ,Domestic Long Hair,Chesterfield ,29709,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310512/4/?bust=1673034463&width=600,SC,Cat,adoptable,https://www.petfinder.com/cat/frosty-59310512/sc/chesterfield/jtrkitties-sc527/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
